symbol,earnings_date,option_ticker,expiration_date,strike_price,type
AAPL,2025-10-30,O:AAPL251205C00110000,2025-12-05,110,call
AAPL,2025-10-30,O:AAPL251205C00120000,2025-12-05,120,call
AAPL,2025-10-30,O:AAPL251205C00125000,2025-12-05,125,call
AAPL,2025-10-30,O:AAPL251205C00130000,2025-12-05,130,call
AAPL,2025-10-30,O:AAPL251205C00135000,2025-12-05,135,call
AAPL,2025-10-30,O:AAPL251205C00140000,2025-12-05,140,call
AAPL,2025-10-30,O:AAPL251205C00145000,2025-12-05,145,call
AAPL,2025-10-30,O:AAPL251205C00150000,2025-12-05,150,call
AAPL,2025-10-30,O:AAPL251205C00155000,2025-12-05,155,call
AAPL,2025-10-30,O:AAPL251205C00160000,2025-12-05,160,call
AAPL,2025-10-30,O:AAPL251205C00165000,2025-12-05,165,call
AAPL,2025-10-30,O:AAPL251205C00170000,2025-12-05,170,call
AAPL,2025-10-30,O:AAPL251205C00175000,2025-12-05,175,call
AAPL,2025-10-30,O:AAPL251205C00180000,2025-12-05,180,call
AAPL,2025-10-30,O:AAPL251205C00185000,2025-12-05,185,call
AAPL,2025-10-30,O:AAPL251205C00190000,2025-12-05,190,call
AAPL,2025-10-30,O:AAPL251205C00195000,2025-12-05,195,call
AAPL,2025-10-30,O:AAPL251205C00200000,2025-12-05,200,call
AAPL,2025-10-30,O:AAPL251205C00205000,2025-12-05,205,call
AAPL,2025-10-30,O:AAPL251205C00210000,2025-12-05,210,call
AAPL,2025-10-30,O:AAPL251205C00215000,2025-12-05,215,call
AAPL,2025-10-30,O:AAPL251205C00220000,2025-12-05,220,call
AAPL,2025-10-30,O:AAPL251205C00225000,2025-12-05,225,call
AAPL,2025-10-30,O:AAPL251205C00230000,2025-12-05,230,call
AAPL,2025-10-30,O:AAPL251205C00235000,2025-12-05,235,call
AAPL,2025-10-30,O:AAPL251205C00240000,2025-12-05,240,call
AAPL,2025-10-30,O:AAPL251205C00245000,2025-12-05,245,call
AAPL,2025-10-30,O:AAPL251205C00250000,2025-12-05,250,call
AAPL,2025-10-30,O:AAPL251205C00255000,2025-12-05,255,call
AAPL,2025-10-30,O:AAPL251205C00260000,2025-12-05,260,call
AAPL,2025-10-30,O:AAPL251205C00265000,2025-12-05,265,call
AAPL,2025-10-30,O:AAPL251205C00270000,2025-12-05,270,call
AAPL,2025-10-30,O:AAPL251205C00275000,2025-12-05,275,call
AAPL,2025-10-30,O:AAPL251205C00280000,2025-12-05,280,call
AAPL,2025-10-30,O:AAPL251205C00285000,2025-12-05,285,call
AAPL,2025-10-30,O:AAPL251205C00290000,2025-12-05,290,call
AAPL,2025-10-30,O:AAPL251205C00295000,2025-12-05,295,call
AAPL,2025-10-30,O:AAPL251205C00300000,2025-12-05,300,call
AAPL,2025-10-30,O:AAPL251205C00305000,2025-12-05,305,call
AAPL,2025-10-30,O:AAPL251205C00310000,2025-12-05,310,call
AAPL,2025-10-30,O:AAPL251205C00315000,2025-12-05,315,call
AAPL,2025-10-30,O:AAPL251205C00320000,2025-12-05,320,call
AAPL,2025-10-30,O:AAPL251205C00325000,2025-12-05,325,call
AAPL,2025-10-30,O:AAPL251205C00330000,2025-12-05,330,call
AAPL,2025-10-30,O:AAPL251205C00335000,2025-12-05,335,call
AAPL,2025-10-30,O:AAPL251205C00340000,2025-12-05,340,call
AAPL,2025-10-30,O:AAPL251205C00345000,2025-12-05,345,call
AAPL,2025-10-30,O:AAPL251205C00350000,2025-12-05,350,call
AAPL,2025-10-30,O:AAPL251205C00355000,2025-12-05,355,call
AAPL,2025-10-30,O:AAPL251205C00360000,2025-12-05,360,call
AAPL,2025-10-30,O:AAPL251205C00365000,2025-12-05,365,call
AAPL,2025-10-30,O:AAPL251205C00370000,2025-12-05,370,call
AAPL,2025-10-30,O:AAPL251205C00375000,2025-12-05,375,call
AAPL,2025-10-30,O:AAPL251205C00380000,2025-12-05,380,call
AAPL,2025-10-30,O:AAPL251205C00385000,2025-12-05,385,call
AAPL,2025-10-30,O:AAPL251205C00390000,2025-12-05,390,call
AAPL,2025-10-30,O:AAPL251205C00395000,2025-12-05,395,call
AAPL,2025-10-30,O:AAPL251205C00400000,2025-12-05,400,call
AAPL,2025-10-30,O:AAPL251205P00110000,2025-12-05,110,put
AAPL,2025-10-30,O:AAPL251205P00120000,2025-12-05,120,put
AAPL,2025-10-30,O:AAPL251205P00125000,2025-12-05,125,put
AAPL,2025-10-30,O:AAPL251205P00130000,2025-12-05,130,put
AAPL,2025-10-30,O:AAPL251205P00135000,2025-12-05,135,put
AAPL,2025-10-30,O:AAPL251205P00140000,2025-12-05,140,put
AAPL,2025-10-30,O:AAPL251205P00145000,2025-12-05,145,put
AAPL,2025-10-30,O:AAPL251205P00150000,2025-12-05,150,put
AAPL,2025-10-30,O:AAPL251205P00155000,2025-12-05,155,put
AAPL,2025-10-30,O:AAPL251205P00160000,2025-12-05,160,put
AAPL,2025-10-30,O:AAPL251205P00165000,2025-12-05,165,put
AAPL,2025-10-30,O:AAPL251205P00170000,2025-12-05,170,put
AAPL,2025-10-30,O:AAPL251205P00175000,2025-12-05,175,put
AAPL,2025-10-30,O:AAPL251205P00180000,2025-12-05,180,put
AAPL,2025-10-30,O:AAPL251205P00185000,2025-12-05,185,put
AAPL,2025-10-30,O:AAPL251205P00190000,2025-12-05,190,put
AAPL,2025-10-30,O:AAPL251205P00195000,2025-12-05,195,put
AAPL,2025-10-30,O:AAPL251205P00200000,2025-12-05,200,put
AAPL,2025-10-30,O:AAPL251205P00205000,2025-12-05,205,put
AAPL,2025-10-30,O:AAPL251205P00210000,2025-12-05,210,put
AAPL,2025-10-30,O:AAPL251205P00215000,2025-12-05,215,put
AAPL,2025-10-30,O:AAPL251205P00220000,2025-12-05,220,put
AAPL,2025-10-30,O:AAPL251205P00225000,2025-12-05,225,put
AAPL,2025-10-30,O:AAPL251205P00230000,2025-12-05,230,put
AAPL,2025-10-30,O:AAPL251205P00235000,2025-12-05,235,put
AAPL,2025-10-30,O:AAPL251205P00240000,2025-12-05,240,put
AAPL,2025-10-30,O:AAPL251205P00245000,2025-12-05,245,put
AAPL,2025-10-30,O:AAPL251205P00250000,2025-12-05,250,put
AAPL,2025-10-30,O:AAPL251205P00255000,2025-12-05,255,put
AAPL,2025-10-30,O:AAPL251205P00260000,2025-12-05,260,put
AAPL,2025-10-30,O:AAPL251205P00265000,2025-12-05,265,put
AAPL,2025-10-30,O:AAPL251205P00270000,2025-12-05,270,put
AAPL,2025-10-30,O:AAPL251205P00275000,2025-12-05,275,put
AAPL,2025-10-30,O:AAPL251205P00280000,2025-12-05,280,put
AAPL,2025-10-30,O:AAPL251205P00285000,2025-12-05,285,put
AAPL,2025-10-30,O:AAPL251205P00290000,2025-12-05,290,put
AAPL,2025-10-30,O:AAPL251205P00295000,2025-12-05,295,put
AAPL,2025-10-30,O:AAPL251205P00300000,2025-12-05,300,put
AAPL,2025-10-30,O:AAPL251205P00305000,2025-12-05,305,put
AAPL,2025-10-30,O:AAPL251205P00310000,2025-12-05,310,put
AAPL,2025-10-30,O:AAPL251205P00315000,2025-12-05,315,put
AAPL,2025-10-30,O:AAPL251205P00320000,2025-12-05,320,put
AAPL,2025-10-30,O:AAPL251205P00325000,2025-12-05,325,put
AAPL,2025-10-30,O:AAPL251205P00330000,2025-12-05,330,put
AAPL,2025-10-30,O:AAPL251205P00335000,2025-12-05,335,put
AAPL,2025-10-30,O:AAPL251205P00340000,2025-12-05,340,put
AAPL,2025-10-30,O:AAPL251205P00345000,2025-12-05,345,put
AAPL,2025-10-30,O:AAPL251205P00350000,2025-12-05,350,put
AAPL,2025-10-30,O:AAPL251205P00355000,2025-12-05,355,put
AAPL,2025-10-30,O:AAPL251205P00360000,2025-12-05,360,put
AAPL,2025-10-30,O:AAPL251205P00365000,2025-12-05,365,put
AAPL,2025-10-30,O:AAPL251205P00370000,2025-12-05,370,put
AAPL,2025-10-30,O:AAPL251205P00375000,2025-12-05,375,put
AAPL,2025-10-30,O:AAPL251205P00380000,2025-12-05,380,put
AAPL,2025-10-30,O:AAPL251205P00385000,2025-12-05,385,put
AAPL,2025-10-30,O:AAPL251205P00390000,2025-12-05,390,put
AAPL,2025-10-30,O:AAPL251205P00395000,2025-12-05,395,put
AAPL,2025-10-30,O:AAPL251205P00400000,2025-12-05,400,put
AAPL,2025-10-30,O:AAPL251212C00110000,2025-12-12,110,call
AAPL,2025-10-30,O:AAPL251212C00120000,2025-12-12,120,call
AAPL,2025-10-30,O:AAPL251212C00125000,2025-12-12,125,call
AAPL,2025-10-30,O:AAPL251212C00130000,2025-12-12,130,call
AAPL,2025-10-30,O:AAPL251212C00135000,2025-12-12,135,call
AAPL,2025-10-30,O:AAPL251212C00140000,2025-12-12,140,call
AAPL,2025-10-30,O:AAPL251212C00145000,2025-12-12,145,call
AAPL,2025-10-30,O:AAPL251212C00150000,2025-12-12,150,call
AAPL,2025-10-30,O:AAPL251212C00155000,2025-12-12,155,call
AAPL,2025-10-30,O:AAPL251212C00160000,2025-12-12,160,call
AAPL,2025-10-30,O:AAPL251212C00165000,2025-12-12,165,call
AAPL,2025-10-30,O:AAPL251212C00170000,2025-12-12,170,call
AAPL,2025-10-30,O:AAPL251212C00175000,2025-12-12,175,call
AAPL,2025-10-30,O:AAPL251212C00180000,2025-12-12,180,call
AAPL,2025-10-30,O:AAPL251212C00185000,2025-12-12,185,call
AAPL,2025-10-30,O:AAPL251212C00190000,2025-12-12,190,call
AAPL,2025-10-30,O:AAPL251212C00195000,2025-12-12,195,call
AAPL,2025-10-30,O:AAPL251212C00200000,2025-12-12,200,call
AAPL,2025-10-30,O:AAPL251212C00205000,2025-12-12,205,call
AAPL,2025-10-30,O:AAPL251212C00210000,2025-12-12,210,call
AAPL,2025-10-30,O:AAPL251212C00215000,2025-12-12,215,call
AAPL,2025-10-30,O:AAPL251212C00220000,2025-12-12,220,call
AAPL,2025-10-30,O:AAPL251212C00225000,2025-12-12,225,call
AAPL,2025-10-30,O:AAPL251212C00230000,2025-12-12,230,call
AAPL,2025-10-30,O:AAPL251212C00235000,2025-12-12,235,call
AAPL,2025-10-30,O:AAPL251212C00240000,2025-12-12,240,call
AAPL,2025-10-30,O:AAPL251212C00245000,2025-12-12,245,call
AAPL,2025-10-30,O:AAPL251212C00250000,2025-12-12,250,call
AAPL,2025-10-30,O:AAPL251212C00255000,2025-12-12,255,call
AAPL,2025-10-30,O:AAPL251212C00260000,2025-12-12,260,call
AAPL,2025-10-30,O:AAPL251212C00265000,2025-12-12,265,call
AAPL,2025-10-30,O:AAPL251212C00270000,2025-12-12,270,call
AAPL,2025-10-30,O:AAPL251212C00275000,2025-12-12,275,call
AAPL,2025-10-30,O:AAPL251212C00280000,2025-12-12,280,call
AAPL,2025-10-30,O:AAPL251212C00285000,2025-12-12,285,call
AAPL,2025-10-30,O:AAPL251212C00290000,2025-12-12,290,call
AAPL,2025-10-30,O:AAPL251212C00295000,2025-12-12,295,call
AAPL,2025-10-30,O:AAPL251212C00300000,2025-12-12,300,call
AAPL,2025-10-30,O:AAPL251212C00305000,2025-12-12,305,call
AAPL,2025-10-30,O:AAPL251212C00310000,2025-12-12,310,call
AAPL,2025-10-30,O:AAPL251212C00315000,2025-12-12,315,call
AAPL,2025-10-30,O:AAPL251212C00320000,2025-12-12,320,call
AAPL,2025-10-30,O:AAPL251212C00325000,2025-12-12,325,call
AAPL,2025-10-30,O:AAPL251212C00330000,2025-12-12,330,call
AAPL,2025-10-30,O:AAPL251212C00335000,2025-12-12,335,call
AAPL,2025-10-30,O:AAPL251212C00340000,2025-12-12,340,call
AAPL,2025-10-30,O:AAPL251212C00345000,2025-12-12,345,call
AAPL,2025-10-30,O:AAPL251212C00350000,2025-12-12,350,call
AAPL,2025-10-30,O:AAPL251212C00355000,2025-12-12,355,call
AAPL,2025-10-30,O:AAPL251212C00360000,2025-12-12,360,call
AAPL,2025-10-30,O:AAPL251212C00365000,2025-12-12,365,call
AAPL,2025-10-30,O:AAPL251212C00370000,2025-12-12,370,call
AAPL,2025-10-30,O:AAPL251212C00375000,2025-12-12,375,call
AAPL,2025-10-30,O:AAPL251212C00380000,2025-12-12,380,call
AAPL,2025-10-30,O:AAPL251212C00385000,2025-12-12,385,call
AAPL,2025-10-30,O:AAPL251212C00390000,2025-12-12,390,call
AAPL,2025-10-30,O:AAPL251212C00395000,2025-12-12,395,call
AAPL,2025-10-30,O:AAPL251212C00400000,2025-12-12,400,call
AAPL,2025-10-30,O:AAPL251212P00110000,2025-12-12,110,put
AAPL,2025-10-30,O:AAPL251212P00120000,2025-12-12,120,put
AAPL,2025-10-30,O:AAPL251212P00125000,2025-12-12,125,put
AAPL,2025-10-30,O:AAPL251212P00130000,2025-12-12,130,put
AAPL,2025-10-30,O:AAPL251212P00135000,2025-12-12,135,put
AAPL,2025-10-30,O:AAPL251212P00140000,2025-12-12,140,put
AAPL,2025-10-30,O:AAPL251212P00145000,2025-12-12,145,put
AAPL,2025-10-30,O:AAPL251212P00150000,2025-12-12,150,put
AAPL,2025-10-30,O:AAPL251212P00155000,2025-12-12,155,put
AAPL,2025-10-30,O:AAPL251212P00160000,2025-12-12,160,put
AAPL,2025-10-30,O:AAPL251212P00165000,2025-12-12,165,put
AAPL,2025-10-30,O:AAPL251212P00170000,2025-12-12,170,put
AAPL,2025-10-30,O:AAPL251212P00175000,2025-12-12,175,put
AAPL,2025-10-30,O:AAPL251212P00180000,2025-12-12,180,put
AAPL,2025-10-30,O:AAPL251212P00185000,2025-12-12,185,put
AAPL,2025-10-30,O:AAPL251212P00190000,2025-12-12,190,put
AAPL,2025-10-30,O:AAPL251212P00195000,2025-12-12,195,put
AAPL,2025-10-30,O:AAPL251212P00200000,2025-12-12,200,put
AAPL,2025-10-30,O:AAPL251212P00205000,2025-12-12,205,put
AAPL,2025-10-30,O:AAPL251212P00210000,2025-12-12,210,put
